,Site,Domain Rating,Total Backlinks,Total Keywords,Total Traffic,Queries,Knowledge_Panel_Results
0,ferryads.com,1.0,44,0,0,ferryads,False
1,gotlice.nyc,0.0,2,0,0,gotlice,True
2,gradoassociates.com,0.0,5,0,0,gradoassociates,False
3,kemenycpa.com,0.0,5,0,0,kemenycpa,False
4,rainbowcct.com,0.0,10,0,0,rainbowcct,False
5,selectpop.com,0.0,12,0,0,selectpop,False
6,framboisecatering.com#home,,0,0,0,framboisecatering,True
7,lionsprideleadership.com,8.0,55,1,0,lionsprideleadership,False
8,prcision.com,7.0,170,1,0,prcision,True
9,postbot.us,6.0,113,1,0,postbot,False
10,gigispecialtypharmacy.com,1.0,7,1,0,gigispecialtypharmacy,True
11,milano4you.com,0.0,10,1,0,milano4you,False
12,siuh.edu,46.0,4629,2,16,siuh,True
13,shemediany.com,0.0,5,2,1,shemediany,False
14,oecny.com,0.0,54,2,0,oecny,True
15,doreenminserracpa.net,0.0,75,4,0,doreenminserracpa,True
16,marianawassef.com,0.0,6,4,0,marianawassef,False
17,prinziandco.com,0.0,16,4,0,prinziandco,True
18,showtimepublications.wordpress.com,0.0,3,4,0,showtimepublications,False
19,constructiveconcepts.com,0.0,30,5,5,constructiveconcepts,False
20,timelessme.com,6.0,499,5,1,timelessme,True
21,designertouchinteriors.net,0.0,11,5,1,designertouchinteriors,False
22,inspireis.com,6.0,16,6,0,inspireis,False
23,nyhomeinspector.vpweb.com,82.0,56,7,6,nyhomeinspector,False
24,goldenkeyinteriors.com,1.0,24,7,3,goldenkeyinteriors,True
25,wealthandlegacygroup.com,3.0,52,7,1,wealthandlegacygroup,True
26,wdcpa.com,0.0,96,7,0,wdcpa,False
27,martech.nyc,18.0,15,8,1,martech,False
28,nyc-craniosacral.com,2.0,182,8,0,nyc-craniosacral,False
29,fuscoassociates.com,0.0,22,9,10,fuscoassociates,True
30,rampulla.net,5.0,30,11,37,rampulla,True
31,jvnr.com,0.0,13,13,32,jvnr,False
32,iliceto.com,0.0,7,13,1,iliceto,True
33,ptvantage.com,0.0,26,14,10,ptvantage,False
34,statenartsphotography.com,0.0,84,14,1,statenartsphotography,True
35,jcdangelocpa.com,1.0,28,15,1,jcdangelocpa,True
36,behrinslaw.com,0.0,37,16,13,behrinslaw,True
37,naso-organization.com,1.0,96,16,0,naso-organization,False
38,aiasiny.com,0.0,4,17,0,aiasiny,False
39,si-nyc.com,0.0,293,17,0,si-nyc,True
40,richmondelevator.com,1.0,24,18,48,richmondelevator,False
41,cdsystems.com,28.0,204,18,13,cdsystems,False
42,kmckernanlaw.com,2.0,136,18,4,kmckernanlaw,True
43,p1servicesonline.com,2.0,101,18,4,p1servicesonline,True
44,familylimousinesi.com,,1,18,3,familylimousinesi,False
45,loveyourfurnitureagain.com,1.0,10,18,0,loveyourfurnitureagain,True
46,apexcreditsolutions.com,0.0,83,19,23,apexcreditsolutions,True
47,russoappraisals.com,2.0,122,19,1,russoappraisals,True
48,dtgcpas.com,1.0,48,19,0,dtgcpas,True
49,kmelawyer.com,0.0,12,20,3,kmelawyer,False
50,hanleyfuneralhomeinc.com,3.0,67,21,148,hanleyfuneralhomeinc,True
51,tremerandtremer.com,0.0,47,21,1,tremerandtremer,True
52,vanalphenbros.com,4.0,37,22,31,vanalphenbros,False
53,jacobsoncontracting.com,4.0,61,22,29,jacobsoncontracting,False
54,avsarch.com,2.0,9,22,2,avsarch,False
